file_name,text
general_00001.png,ID1024323453760
general_00002.png,ID1023269910700
general_00003.png,ID2023269910915
general_00004.png,ID1025370126308
general_00005.png,ID1026469511467
general_00006.png,ID1025416366389
general_00007.png,ID1023304672596
general_00008.png,ID1026574258780
general_00009.png,ID1023281017260
general_00010.png,ID1023242349646
general_00011.png,ID1025412855906
general_00012.png,ID1024317270055
general_00013.png,ID1024314066985
general_00014.png,ID1025452553338
general_00015.png,ID1025461086999
general_00016.png,ID1026471995625
general_00017.png,ID1026506676778
general_00018.png,ID1026478825221
general_00019.png,ID1026493555423
general_00020.png,ID1026477974764
general_00021.png,ID1022154178621
general_00022.png,ID1025425821762
general_00023.png,ID1021071695907
general_00024.png,ID1025404974640
general_00025.png,ID1026547628853
general_00026.png,ID1026485824605
general_00027.png,ID1026535605616
general_00028.png,ID1023286077558
general_00029.png,ID1024345122724
general_00030.png,ID1024320253288
