file_name,text
merchant_00001.png,SERUNI KOLOR & DALEMAN
merchant_00002.png,082 PUSK TROWULAN
merchant_00003.png,082 PUSK DLANGGU
merchant_00004.png,082 PUSK MODOPURO
merchant_00005.png,Awokk Store
merchant_00006.png,CIKI BERHADIAH
merchant_00007.png,NAYA BAKERY - BAKERY
merchant_00008.png,Yedzky Store ID
merchant_00009.png,ES TEH WARGA BANTEN
merchant_00010.png,QRIS BN, PULSA & INTERNET
merchant_00011.png,WARUNG MAKAN ABIE BRI
merchant_00012.png,TOKO BANGUNAN SELATAN JAYA
merchant_00013.png,NOVSKITCHEN CAKE SHOP
merchant_00014.png,aif store
merchant_00015.png,Lotus Store
merchant_00016.png,MUHAMMAD ERICK ERLANGGA, GAMING
merchant_00017.png,ASTI.CO, DIGITAL & KREATIF
merchant_00018.png,SEBLAK & LUMPIA CAROLINA, KSKNDL
merchant_00019.png,ON FOOD & BEVERAGE, SELONG
merchant_00020.png,TOKO RAUDAH, GROSIR
merchant_00021.png,DRINK CORNER
merchant_00022.png,JIDAN MAKMUR, TOKO PAKAIAN
merchant_00023.png,ROCKY
merchant_00024.png,Alip barber
merchant_00025.png,PUTRASTORE
merchant_00026.png,082 PUSK PUNGGING
merchant_00027.png,AKSUY SPAKBOR CAR PARTS
merchant_00028.png,APPLESWIFTS, DIGITAL & KREATIF
merchant_00029.png,DILAN SPAKBOR KELAS KAKAP, SUKU CADANG MOBIL
merchant_00030.png,RAHMAN KRIKIL
merchant_00031.png,ES COKLAT AJA 26 QR
merchant_00032.png,Laundry sinisuka
merchant_00033.png,PANGSIX ID
merchant_00034.png,WARBEH
merchant_00035.png,ABY LAUNDRY
